Headword,Entry No.,No.,Syllabary,Practical,Tone and length 1,Tone and length 2,Part of speech,Grammar note,Translation 1A,Translation 1B,Translation 1C,Translation 1D,Translation 2A,Translation  2B,Translation  3A,Translation 3B,English gloss 1,English gloss 2,English gloss 3,English gloss 4,Compare 1 ,Compare 2,Compare 3,Compare 4,Sentence 1 audio,Sentence-1 SYLL,Sentence-1 PHON,Sentence-1 ENGL,Sentence 2 audio,Sentence-2 SYLL,Sentence-2 PHON,Sentence-2 ENGL,Sentence 3 audio,Sentence-3 SYLL,Sentence-3 PHON,Sentence-3 ENGL,Spelling variant
ᎠᏧᏣ,4.1,4,ᎠᏧᏣ,achuja,ạchűja,achű:ja,noun,,boy,,,,,,,,boy,,,,,,,,entry_0004.1_sentence_1.wav,Ꮎ ᎠᏂᏧᏣ ᏍᏆᏞᏍᏗ ᏓᎾᏁᎶᎲᏍᎦ,ná ani:chű:ja sgwà:hle̋:sdi dà:ná:ne:lo:hv́sga,The boys are playing ball,,,,,,,,,
ᎠᏂᏧᏣ,4.2,4,ᎠᏂᏧᏣ,anichuja,ạnichűja,ani:chű:ja,noun,plural,boys,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏨᏯ,5.1,5,ᎠᏨᏯ,achvya,ạchvya,achv:ya,noun,,male (animal),,,,,,,,male animal,,,,julịchv̌yàsdi,,,,entry_0005.1_sentence_1.wav,ᏥᏔᎦ ᎠᏂᏨᏯ ᎤᎩᏥᏍᏕᏱ ᎠᎾᏴᎪᎢ,jitǎ:ga ani:chv:ya u:gitsde̋:yi à:ná:yhgó:'i,Roosters crow at dawn,,,,,,,,,
ᎠᏂᏨᏯ,5.2,5,ᎠᏂᏨᏯ,anichvya,ạnichvya,ani:chv:ya,noun,plural,males (animal),,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓ,6.1,6,ᎠᏓ,ada,ạda,ada,noun,,wood,,,,,,,,wood,,,,,,,,entry_0006.1_sentence_1.wav,ᎯᎳ ᏧᎬᏩᎶᏗ ᏌᏊ ᎢᎦᏒᏘ ᎠᏓ?,hila̋: ju:gv̋:walhdi sà:gwű i:gâ:sv̋:ti ada,How much does one rick of wood cost?,,,,,,,,,
ᎠᏓ,7.1,7,ᎠᏓ,a'da,ạ̋'da,a̋'da,noun,,young animal (animal born in a litter or hatched),,,,,,,,young animal ,,,,ạgi̋na,àdạdéga,àdạdǐnv̂dịha,,entry_0007.1_sentence_1.wav,ᏥᏔᎦ ᎠᏂᏓ ᏧᏛᎯᏍᏙᏗ ᎠᏓᏅᏖᎭ,jitǎ:ga ani̋:da ju:tvhisdóhdi̋ à:da:nhtě:ha,He's thinking about raising chicks,,,,,,,,,
ᎠᏂᏓ,7.2,7,ᎠᏂᏓ,anida,ạni̋da,ani̋:da,noun,plural,young animals (animals born in a litter or hatched),,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏕᎦ,8.1,8,ᎠᏓᏕᎦ,adadega,àdạdéga,à:dadé:ga,verb (vi) ,3rd person singular,it's bouncing,,,,,,,,bounce,,,,àdạdéga,,,,entry_0008.1_sentence_1.wav,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ ᎤᏓᏗᏅᏒᎢ,e:ladí wǔ:di̋:na sgwà:hle̋:sdi ù:dadi:nv̂:sv̌:'i,"When he threw the ball down, it bounced",,,,,,,,,
ᎦᏓᏕᎦ,8.2,8,ᎦᏓᏕᎦ,gadadega,gạdạdéga,gadadé:ga,verb (vi),1st person singular with animate / inanimate object,I'm bouncing  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏗᏅᏒᎢ,8.3,8,ᎤᏓᏗᏅᏒᎢ,udadinvsv'i,ùdạdǐnv̂sv̌'i,ù:dadǐ:nv̂:sv̌:'i,verb (vi) ,3rd person singular non-progressive remote past tense ,it bounced  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏕᎪᎢ,8.4,8,ᎠᏓᏕᎪᎢ,adadego'i,àdạdégó'i,à:dadé:gó:'i,verb (vi) ,3rd person singular present habitual ,it bounces ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎭᏓᏚᎦ,8.5,8,ᎭᏓᏚᎦ,hadaduga,hạdạdùga,hadadù:ga,verb (vi) ,imperative with animate direct objects/ inanimate direct objects ,bounce!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏗᏅᏗ,8.6,8,ᎤᏓᏗᏅᏗ,udadinvdi,udạdǐnv̂di,u:dadǐ:nv̂:di,verb (vi) ,3rd person singular infinitive ,to bounce ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏕᎦ,9.1,9,ᎠᏓᏕᎦ,adadega,àdạdéga,à:dadé:ga,verb (vi) ,3rd person singular,s/he's limping,,,,,,,,limp,,,,àdạdéga,,,,entry_0008.1_sentence_1.wav,ᎠᏲᎤᏟ ᎠᏍᎦᏯ ᎠᏓᏕᎬ ᏥᎪᏩᏘᎭ,e:ladí wǔ:di̋:na sgwà:hle̋:sdi ù:dadi:nv̂:sv̌:'i,I see a lame man limping,,,,,,,,,
ᎦᏓᏕᎦ,9.2,9,ᎦᏓᏕᎦ,gadadega,gạdạdéga,gadadé:ga,verb (vi) ,1st person singular with animate / inanimate object,I'm limping,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏕᏒᎢ,9.3,9,ᎤᏓᏕᏒᎢ,udadesv'i,ùdạdésv̌'i,ù:dadé:sv̌:'i,verb (vi) ,3rd person singular non-progressive remote past tense ,s/he limped,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏕᎪᎢ,9.4,9,ᎠᏓᏕᎪᎢ,adadego'i,àdạdégó'i,à:dadé:gó:'i,verb (vi) ,3rd person singular present habitual ,s/he limps,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎭᏓᏚᎦ,9.5,9,ᎭᏓᏚᎦ,hadaduga,hạdạdùga,hadadù:ga,verb (vi) ,imperative with animate direct objects/ inanimate direct objects ,limp!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏗᏅᏗ,9.6,9,ᎤᏓᏗᏅᏗ,udadinvdi,udạdǐnv̂di,u:dadǐ:nv̂:di,verb (vi) ,3rd person singular infinitive ,to limp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏗᏅᏗᎭ,10.1,10,ᎠᏓᏗᏅᏗᎭ,adadinvdiha,àdạdǐnv̂dịha,à:dadǐ:nv̂:diha,verb (vi) ,3rd person singular,s/he's bouncing it,,,,,,,,bounce,,,,àdạdéga,,,,entry_0010.1_sentence_1.wav,Ꮎ ᎠᎳᏍᎦᎵᏍᎩ ᏍᏓᏯ ᎠᏓᏗᏅᏗᎭ ᏍᏆᏞᏍᏗ,ná alà:sgali̋:sgi sda̋:ya à:dadǐ:nv̂:dǐ:ha sgwà:hle̋:sdi,The ball player is bouncing the ball hard,,,,,,,,,
ᎦᏓᏗᏅᏗᎭ,10.2,10,ᎦᏓᏗᏅᏗᎭ,gadadinvdiha,gạdạdǐnv̂dịha,gadadǐ:nv̂:diha,verb (vi) ,1st person singular ,I'm bouncing it,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏗᏅᏔᏅᎢ,10.3,10,ᎤᏓᏗᏅᏔᏅᎢ,udadinvtanv'i,ùdạdǐnv̂tạnv̌'i,ù:dadǐ:nv̂:tanv̌:'i,verb (vi) ,3rd person singular non-progressive remote past tense ,s/he bounced it,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏗᏅᏗᏍᎪᎢ,10.4,10,ᎠᏓᏗᏅᏗᏍᎪᎢ,adadinvdisgo'i,àdạdǐnv̂disgó'i,à:dadǐ:nv̂:di:sgó:'i,verb (vi) ,3rd person singular present habitual ,s/he bounces it,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎭᏓᏗᏅᏓ,10.5,10,ᎭᏓᏗᏅᏓ,hadadinvda,hạdạdinv̀da,hadadi:nv̀:da,verb (vi) ,imperative with animate direct objects/ inanimate direct objects ,bounce it!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏗᏅᏙᏗ,10.6,10,ᎤᏓᏗᏅᏙᏗ,udadinvdohdi,udạdǐnv̂dọhdi,u:dadǐ:nv̂:dohdi,verb (vi) ,3rd person singular infinitive ,to bounce something,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏠᎯᎭ,11.1,11,ᎠᏓᏠᎯᎭ,adadlohiha,àdádlohị́ha,à:dá:dlo:híha,verb (vi) ,3rd person singular,s/he's putting on a belt,,,,,,,,put on belt,,,,ạdàdlǒsdi,gádlohị́ha,,,entry_0011.1_sentence_1.wav,ᎤᏬᏚᎯ ᎠᏓᏠᏍᏗ ᎤᏓᏠᏢᎢ ᏗᎦᏚᎲ ᎤᏪᎾ,uwo:dű:hi adà:dlǒ:sdi ù:dá:dlo:hlv̌:'i diga:dú:hv̋ ù:we̋:na,She put on a pretty belt when she went to town,,,,,,,,,
ᎦᏓᏠᎯᎭ,11.2,11,ᎦᏓᏠᎯᎭ,gadadlohiha,gạdádlohị́ha,gadá:dlo:híha,verb (vi) ,1st person singular ,I'm putting on a belt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏠᏢᎢ,11.3,11,ᎤᏓᏠᏢᎢ,udadlohlv'i,ùdádlohlv̌'i,ù:dá:dlo:hlv̌:'i,verb (vi) ,3rd person singular non-progressive remote past tense ,s/he put on a belt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏠᎯᎰᎢ,11.4,11,ᎠᏓᏠᎯᎰᎢ,adadlohiho'i,àdádlohịhó'i,à:dá:dlo:hihó:'i,verb (vi) ,3rd person singular present habitual ,s/he puts on a belt  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎭᏓᏠᎦ,11.5,11,ᎭᏓᏠᎦ,hadadloga,hạdàdlǒga,hadà:dlǒ:ga,verb (vi) ,imperative with animate direct objects/ inanimate direct objects ,put on a belt!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏠᏍᏗ,11.6,11,ᎤᏓᏠᏍᏗ,udadlosdi,udàdlǒsdi,u:dà:dlǒ:sdi,verb (vi) ,3rd person singular infinitive ,to put on a belt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏠᏍᏗ,12.1,12,ᎠᏓᏠᏍᏗ,adadlosdi,ạdàdlǒsdi,adà:dlǒ:sdi,noun,,belt,,,,,,,,belt,,,,àdadǒlîsdịha,,,,entry_0012.1_sentence_1.wav,ᎠᏓᏠᏍᏗ ᎠᎩᏁᏒ ᏓᏂᏍᏓᏲᎯᎲᎢ,adà:dlǒ:sdi à:giné:sv́: dà:ni:sdayo:hihv̋:'i,I got a belt for Christmas,,,,,,,,,
ᏗᏓᏠᏍᏗ,12.2,12,ᏗᏓᏠᏍᏗ,didadlosdi,didàdlǒsdi,di:dà:dlǒ:sdi,noun,plural,belts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
